max_proposals,iou_threshold,avg_recall,avg_mabo
0,0.5,0,0
0,0.6,0,0
0,0.7,0,0
0,0.8,0,0
0,0.9,0,0
50,0.5,0.8890186548233032,0.696443498134613
50,0.6,0.7102803587913513,0.7313950061798096
50,0.7,0.4287382960319519,0.7842862606048584
50,0.8,0.14485980570316315,0.8545844554901123
50,0.9,0.02570093423128128,0.9318327903747559
100,0.5,0.9532709717750549,0.7312799096107483
100,0.6,0.8551401495933533,0.7506924867630005
100,0.7,0.5864485502243042,0.7951902151107788
100,0.8,0.24883176386356354,0.8557396531105042
100,0.9,0.04439252242445946,0.9344891309738159
150,0.5,0.9696261286735535,0.7509675621986389
150,0.6,0.8960279822349548,0.7665581107139587
150,0.7,0.6845794320106506,0.7996550798416138
150,0.8,0.3142523169517517,0.853333055973053
150,0.9,0.05257009342312813,0.929429829120636
200,0.5,0.9789719581604004,0.7650975584983826
200,0.6,0.9252336025238037,0.7770684957504272
200,0.7,0.7394859790802002,0.8066067695617676
200,0.8,0.375,0.8584045171737671
200,0.9,0.07359813153743744,0.9317753314971924
250,0.5,0.9813084006309509,0.7791678309440613
250,0.6,0.9392523169517517,0.7889060974121094
250,0.7,0.8037382960319519,0.8101703524589539
250,0.8,0.42406541109085083,0.8596952557563782
250,0.9,0.08294392377138138,0.9297859072685242
300,0.5,0.9824765920639038,0.7865993976593018
300,0.6,0.9450934529304504,0.7956028580665588
300,0.7,0.8119158744812012,0.8174315690994263
300,0.8,0.4894859790802002,0.8603425025939941
300,0.9,0.09579438716173172,0.9302461743354797
350,0.5,0.9871494770050049,0.7926380634307861
350,0.6,0.9591121077537537,0.7992380857467651
350,0.7,0.8212616443634033,0.8227742910385132
350,0.8,0.5116822123527527,0.8628378510475159
350,0.9,0.1144859790802002,0.930264413356781
400,0.5,0.9906541705131531,0.7974907159805298
400,0.6,0.9567756652832031,0.8059717416763306
400,0.7,0.8633177280426025,0.8217123746871948
400,0.8,0.5303738117218018,0.8636746406555176
400,0.9,0.1144859790802002,0.9294340014457703
450,0.5,0.9871494770050049,0.8044683337211609
450,0.6,0.9649532437324524,0.8098270297050476
450,0.7,0.8539719581604004,0.8297091126441956
450,0.8,0.5654205679893494,0.8672156929969788
450,0.9,0.13317756354808807,0.9312113523483276
500,0.5,0.9883177280426025,0.8036245107650757
500,0.6,0.9649532437324524,0.8095632791519165
500,0.7,0.8644859790802002,0.8271456360816956
500,0.8,0.5642523169517517,0.8650468587875366
500,0.9,0.1320093423128128,0.9287707805633545
550,0.5,0.9894859790802002,0.8090090751647949
550,0.6,0.9649532437324524,0.8152196407318115
550,0.7,0.8796728849411011,0.8304513096809387
550,0.8,0.5864485502243042,0.8672349452972412
550,0.9,0.13785046339035034,0.932325005531311
600,0.5,0.9918128252029419,0.8128442168235779
600,0.6,0.9707602262496948,0.8183876872062683
600,0.7,0.8923976421356201,0.8319207429885864
600,0.8,0.59415203332901,0.8686307072639465
600,0.9,0.1461988240480423,0.9324572086334229
650,0.5,0.9918224215507507,0.8159710764884949
650,0.6,0.9731308221817017,0.8211093544960022
650,0.7,0.8913550972938538,0.8352807760238647
650,0.8,0.6203270554542542,0.8682800531387329
650,0.9,0.15887850522994995,0.9321637153625488
700,0.5,0.9906541705131531,0.8195517063140869
700,0.6,0.9813084006309509,0.8219606280326843
700,0.7,0.90887850522995,0.8347969055175781
700,0.8,0.6273364424705505,0.8692838549613953
700,0.9,0.15537382662296295,0.9300248622894287
750,0.5,0.9941588640213013,0.8208221197128296
750,0.6,0.9789719581604004,0.8250375986099243
750,0.7,0.9077102541923523,0.8376662731170654
750,0.8,0.6390186548233032,0.8703545928001404
750,0.9,0.17289718985557556,0.9296103119850159
800,0.5,0.9906541705131531,0.824515163898468
800,0.6,0.9813084006309509,0.8272206783294678
800,0.7,0.9112149477005005,0.8399234414100647
800,0.8,0.6612149477005005,0.8701423406600952
800,0.9,0.17757008969783783,0.9289538860321045
850,0.5,0.9929906129837036,0.8267035484313965
850,0.6,0.9813084006309509,0.8299263119697571
850,0.7,0.9182242751121521,0.841608464717865
850,0.8,0.6775700449943542,0.8713347315788269
850,0.9,0.18691587448120117,0.9291740655899048
900,0.5,0.9941588640213013,0.8286278247833252
900,0.6,0.9801401495933533,0.8325051069259644
900,0.7,0.919392466545105,0.8438454270362854
900,0.8,0.688084065914154,0.8718908429145813
900,0.9,0.20093457400798798,0.9305368661880493
950,0.5,0.9929906129837036,0.8305718898773193
950,0.6,0.9824765920639038,0.8334927558898926
950,0.7,0.9240654110908508,0.8442196249961853
950,0.8,0.6904205679893494,0.8729297518730164
950,0.9,0.1997663527727127,0.9306031465530396
1000,0.5,0.9929906129837036,0.8332122564315796
1000,0.6,0.9824765920639038,0.8361369371414185
1000,0.7,0.9275700449943542,0.8465207815170288
1000,0.8,0.7172896862030029,0.871495246887207
1000,0.9,0.19392523169517517,0.9303706884384155
